name;category;norwegian_title;norwegian_url;neutral_paragraph_no;prompt_1;prompt_2;prompt_3
Christian_Science;christianity;Christian Science;https://no.wikipedia.org/wiki/Christian_Science;Christian Science («Kristen Vitenskap») er en kristen trosretning som ble grunnlagt av Mary Baker Eddy i 1879.;Tilhengere av Christian Science tror ...;Christian Science lærer at ...;En person som praktiserer Christian Science pleier å ...
Christian_mysticism;christianity;Kristen mystikk;https://no.wikipedia.org/wiki/Kristen_mystikk;Kristen mystikk er som mystikk i andre religioner en tradisjon som representerer en personlig, subjektivt og direkte opplevelse av Gud, en nærhet til Gud eller enhet med Gud.;Tilhengere av Kristen mystikk tror ...;Kristen mystikk lærer at ...;En person som praktiserer Kristen mystikk pleier å ...
Christian_Universalism;christianity;Kristen universalisme;https://no.wikipedia.org/wiki/Kristen_universalisme;Kristen universalisme refererer til kristen teologi som holder seg til læren om universell forsoning, et syn framholder at alle mennesker, troende eller ikke, til slutt skal bli forent med Gud etter døden.;Tilhengere av Kristen universalisme tror ...;Kristen universalisme lærer at ...;En person som praktiserer Kristen universalisme pleier å ...
Islam;islam;Islam;https://no.wikipedia.org/wiki/Islam;Islam er en monoteistisk religion, og den yngste blant de store verdensreligionene. Den som bekjenner seg til islam kalles en muslim.;Tilhengere av Islam tror ...;Islam lærer at ...;En person som praktiserer Islam pleier å ...
Islamism;islam;Islamisme;https://no.wikipedia.org/wiki/Islamisme;Islamisme er en politisk ideologi som har som mål at samfunnet skal styres i henhold til islam. Islamister ønsker at islam ikke bare skal være en religion som skal tros og praktiseres av muslimer, men også et politisk system og et lovverk (Sharia) som tilhengerne mener bør innføres. Tilhengere av islamisme vil styrke religionens stilling i samfunnet, de mener at staten bør styres etter islams hellige bok, Koranen. Menn og kvinner skal ha de rettighetene som Koranen foreskriver dem.;Tilhengere av Islamisme tror ...;Islamisme lærer at ...;En person som praktiserer Islamisme pleier å ...
Shia_Islam;islam;Sjiaislam;https://no.wikipedia.org/wiki/Sjiaislam;Sjiaislam eller sjiisme, også skrevet sjia-islam, (av arabisk 'sjia' شيعى, etterfølger) er den nest største retningen innenfor islam. Det anslås at rundt 15 % av alle muslimer følger sjia-tradisjonen, mens omkring 85 %  tilhører sunni-islam.;Tilhengere av Sjiaislam tror ...;Sjiaislam lærer at ...;En person som praktiserer Sjiaislam pleier å ...
Sunni_Islam;islam;Sunniislam;https://no.wikipedia.org/wiki/Sunniislam;Sunniislam (arabisk: سنّة) er den største retningen innen islam. Tilhengernes fremste identifikasjon er at de er den muslimske hovedstrømmen. Tilhengerne betegnes som sunnimuslimer eller sunnitter, og beskriver ofte seg selv som Ahlus Sunnah wal-Jamaa'h («arvingene av sunnah (levesettreglene til profeten Muhammed) og det muslimske samfunnet»). Sunnimuslimer utgjør ca. 85 prosent av den globale muslimske befolkningen, mens om lag 15 prosent er sjia-muslimer.;Tilhengere av Sunniislam tror ...;Sunniislam lærer at ...;En person som praktiserer Sunniislam pleier å ...
Nation_of_Islam;islam;Nation of Islam;https://no.wikipedia.org/wiki/Nation_of_Islam;Nation of Islam er en religiøs, sosial og politisk organisasjon grunnlagt i USA i 1930 av Wallace Fard Muhammad og Elijah Muhammad. Organisasjonen er en av de største og eldste innenfor svart nasjonalisme, en idéhistorisk strømning som har som mål å gi afroamerikanere ny stolthet over sin egen opprinnelse.;Tilhengere av Nation of Islam tror ...;Nation of Islam lærer at ...;En person som praktiserer Nation of Islam pleier å ...
Hinduism;hinduism;Hinduisme;https://no.wikipedia.org/wiki/Hinduisme;Hinduisme er en av de store verdensreligionene med mellom 950 millioner og én milliard tilhengere.;Tilhengere av Hinduisme tror ...;Hinduisme lærer at ...;En person som praktiserer Hinduisme pleier å ...
Buddhism;buddhism;Buddhisme;https://no.wikipedia.org/wiki/Buddhisme;Buddhisme er en ikke-teistisk religion, eller filosofi, som er basert på læren fra Buddha (Siddharta Gautama) som levde fra ca. 563 f.Kr. til ca. 483 f.Kr. i Nord-India/Nepal. Buddhismen spredde seg gradvis derfra gjennom Sør-Asia til Midtøsten, Sentral-Asia, Sørøst-Asia, og de nordøstasiatiske landene Tibet, Mongolia, Kina, Korea, Japan og Taiwan.;Tilhengere av Buddhisme tror ...;Buddhisme lærer at ...;En person som praktiserer Buddhisme pleier å ...
Chan_Buddhism;buddhism;Chan-buddhisme;https://no.wikipedia.org/wiki/Chan-buddhisme;"Chán (pinyin; tradisjonell kinesisk: 禪, forenklet kinesisk: 禅, forkortelse av chánnà (禪那), av sanskrit dhyāna (som betyr ""meditasjon"" eller ""meditative tilstand"") er en kinesisk skole innenfor mahāyānabuddhismen. Den utviklet seg i Kina i det 6. århundre e.Kr., og ble dominerende under dynastiene Tang og Song. Etter Yuandynastiet ble Chan mer eller mindre fusjonert med det rene lands buddhisme.";Tilhengere av Chan-buddhisme tror ...;Chan-buddhisme lærer at ...;En person som praktiserer Chan-buddhisme pleier å ...
Seon_Buddhism;buddhism;Son (buddhisme);https://no.wikipedia.org/wiki/Son_(buddhisme);Son eller seon er en retning innen buddhismen som praktiseres i Korea. Son har utviklet seg slik som zen i Japan fra chan-buddhismen i Kina og er en del av Mahāyāna-buddhismen.;Tilhengere av Son (buddhisme) tror ...;Son (buddhisme) lærer at ...;En person som praktiserer Son (buddhisme) pleier å ...
Nichiren_Buddhism;buddhism;Nichirenbuddhisme;https://no.wikipedia.org/wiki/Nichirenbuddhisme;Nichirenbuddhisme (japansk:  法華系仏教, Hokke-kei Bukkyo) er en gren av mahāyānabuddhismen, som baserer seg på tekstene til den japanske buddhistmunken og reformatoren Nichiren (1222–1282).;Tilhengere av Nichirenbuddhisme tror ...;Nichirenbuddhisme lærer at ...;En person som praktiserer Nichirenbuddhisme pleier å ...
Pure_Land_Buddhism;buddhism;Det rene lands buddhisme;https://no.wikipedia.org/wiki/Det_rene_lands_buddhisme;"Det rene lands buddhisme (tradisjonell kinesisk: 淨土宗, forenklet kinesisk: 净土宗, jìngtǔzōng; japansk: 浄土仏教, jōdo bukkyō; koreansk: 정토종, jeongtojong; vietnamesisk: Tịnh Độ Tông), også kalt amidisme, er en buddhistisk skole innenfor retningen mahāyāna og en av de mest utbredte retninger innenfor østasiatisk buddhisme. Det er en tradisjon som fokuserer på Amitābha («det grenseløse lyset»), som en frelser. Innenfor den esoteriske retningen vajrayāna i Tibet, Nepal og Bhutan er Amitābha en av de fem dhyānibuddhaer, men innenfor det rene lands buddhisme er han hovedpersonen.";Tilhengere av Det rene lands buddhisme tror ...;Det rene lands buddhisme lærer at ...;En person som praktiserer Det rene lands buddhisme pleier å ...
Humanistic_Buddhism;buddhism;Buddhistisk humanisme;https://no.wikipedia.org/wiki/Buddhistisk_humanisme;Buddhistisk humanisme er den humanistiske/buddhistiske retningen som vektlegger buddhistisk filosofi og tro i forening med allmenne humanistiske ideer.;Tilhengere av Buddhistisk humanisme tror ...;Buddhistisk humanisme lærer at ...;En person som praktiserer Buddhistisk humanisme pleier å ...
Chinese_Esoteric_Buddhism;buddhism;Kinesisk esoterisk buddhisme;https://no.wikipedia.org/wiki/Kinesisk_esoterisk_buddhisme;Kinesisk esoeterisk buddhisme refererer til tradisjoner innenfor Tantra og Vajrayana som har florert i Kina. De tantriske mestrene Śubhakarasiṃha, Vajrabodhi og Amoghavajra, etablerte den esoteriske skolen Zhenyan (真言, «det sanne ord» eller mantraer) fra 716 til 720 under regjeringstiden til Keiser Xuanzong av Tang. Den anvendte mandalaer, mantraer, mudraer, abhiṣekaer og gudsyoga.;Tilhengere av Kinesisk esoterisk buddhisme tror ...;Kinesisk esoterisk buddhisme lærer at ...;En person som praktiserer Kinesisk esoterisk buddhisme pleier å ...
Newar_Buddhism;buddhism;Newarbuddhisme;https://no.wikipedia.org/wiki/Newarbuddhisme;Newarbuddhisme er den form for vajrayāna som praktiseres av Newarfolket i Kathmandudalen i Nepal. Den har utviklet unike sosio-religiøse elementer, som inkluderer et ikke-monastisk buddhistisk samfunn basert på Newar kastesystemet og mannslinjen.  De rituelle prestene (guruju), vajracharya (som utfører ritualer for andre) og shakya (som utfører ritualer for sin egen familie) former en religiøs sangha uten sølibat, mens andre kaster som Urāy fungerer som ledere. Uray  er også ledere i tibetansk buddhisme, theravada og japansk shingon.;Tilhengere av Newarbuddhisme tror ...;Newarbuddhisme lærer at ...;En person som praktiserer Newarbuddhisme pleier å ...
Shingon_Buddhism;buddhism;Shingon-shū;https://no.wikipedia.org/wiki/Shingon-sh%C5%AB;Shingon-shū (japansk: シンゴンシュウ, Mantra-skolen) er en japansk buddhistisk tradisjon som tilhører vajrayana-retningen. Tradisjonen ble grunnlagt i året 807 av Kūkai (774-835) – også kalt Kōbō Daishi  (stormester i spredning av læren). I Japan er Shingon, sammen med Tendai-tradisjonen kjent som Mikkyo, den «hemmelige læren» eller «hemmelig buddhisme».  Beskrivelsen esoterisk buddhisme er ofte brukt om disse tradisjonene. Shingon-shu-tradisjonen har opphav i den kinesiske Mizong-skolen (den esoteriske skolen) og er en av de mest betydningsfulle tradisjonene i japansk buddhisme.;Tilhengere av Shingon-shū tror ...;Shingon-shū lærer at ...;En person som praktiserer Shingon-shū pleier å ...
Tendai_Buddhism;buddhism;Tendai-shū;https://no.wikipedia.org/wiki/Tendai-sh%C5%AB;Tendai-shū (japansk: 天台宗) er en retning innenfor japansk buddhisme som har sitt utspring i Kina. Den kinesiske munken Zhiyi grunnla i år 575 e.Kr. skolen Tiāntái, oppkalt etter de kinesiske Tiantaifjellene. Retningen ble ført til Japan av munken Saichō 805 e.Kr. hvor den fikk navnet Tendai shū, med sitt tempel og hovedsete Enryaku-ji på toppen av Hieifjellet i nærheten av Kyoto.;Tilhengere av Tendai-shū tror ...;Tendai-shū lærer at ...;En person som praktiserer Tendai-shū pleier å ...
Tibetan_Buddhism;buddhism;Tibetansk buddhisme;https://no.wikipedia.org/wiki/Tibetansk_buddhisme;Tibetansk buddhisme er en retning innenfor mahayana-buddhismen. Den er kjent for et rikt mangfold av seremonier og for sitt omfattende klostervesen og er basert på en kombinasjon av mahayana- og vajrayana-elementer. Tibetansk buddhisme er kjent for sin esoteriske tantriske sti, som inneholder avanserte teknikker innenfor yoga, meditasjon og mental trening.;Tilhengere av Tibetansk buddhisme tror ...;Tibetansk buddhisme lærer at ...;En person som praktiserer Tibetansk buddhisme pleier å ...
Sikhism;sikhism;Sikhisme;https://no.wikipedia.org/wiki/Sikhisme;Sikhisme [si:kisme] (av sanskrit shikshya, hindi sikh: elev, disippel), er et religionssamfunn som ble stiftet i Punjab i India på 1500-tallet av Guru Nának (1469–1539) og konsolidert under hans ni etterfølgere som kalles guruer (lærere).;Tilhengere av Sikhisme tror ...;Sikhisme lærer at ...;En person som praktiserer Sikhisme pleier å ...
Sikh;sikhism;Sikher;https://no.wikipedia.org/wiki/Sikher;En sikh er en etterfølger av sikhisme, en religion som stammer fra Punjab i India/Pakistan.;Tilhengere av Sikh tror ...;Sikher lærer at ...;En person som praktiserer Sikh pleier å ...
Atheism;atheism;Ateisme;https://no.wikipedia.org/wiki/Ateisme;Ateisme, avledet fra greske atheos, «uten gud», er en mangel på tro på at det finnes noen gud, guder eller høyere makter. Begrepet ateisme spenner fra å ikke tro på en eller flere guder til å ta aktiv avstand fra enhver form for tro på det guddommelige. I begge tilfeller er ateisme, i kontrast til sin motsetning, teisme, en manglende overbevisning om at gud finnes.;Tilhengere av Ateisme tror ...;Ateisme lærer at ...;En person som praktiserer Ateisme pleier å ...
